"LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6"
342619.207937519,2,2,2,33,0,0,1,0,-1,1,82693.3085572495,122545.178517692,83540.6131256626,31583.7671485254,77069.7999617376,72568.3062063847,21031.7282047351,26923.8635805415,11596.5568100893,1397.4915314159,2676.3836325701,97320.3852080565
206440.906412229,1,3,1,40,3,0,2,-1,1,-1,35549.6278398011,37684.472927069,5322.53064733113,43116.2520343551,34127.0771617547,53008.7079033312,4744.81204827859,9074.04200656682,2329.64557972777,3194.9461794065,4551.21094765993,4696.59369342227
190198.124741235,1,1,1,32,-1,-1,-1,1,-1,-1,116620.323271057,214590.776746108,74299.142082045,110119.804769564,11376.0354602369,92093.2750275145,440.598141801227,4144.72263201788,1175.61686738963,2387.73842401127,11518.4359446247,2968.66340400633
57011.7399451657,1,3,2,38,3,4,4,1,-1,0,29500.1673765393,7445.98532170978,34961.0973092408,22996.7833075155,17434.9208680788,38246.3521973392,1741.07539876748,1262.4884181691,6736.1115381006,10188.4729322394,2616.82948370067,7110.51166671542
310950.678623323,2,1,2,23,-1,-1,-1,-1,-1,-1,36458.234714064,19042.804673883,36067.489875724,48169.5408579758,14625.1819358463,29421.7725287493,17134.9396866269,8736.72578211126,9435.54611466151,4297.32946752767,11767.1931914302,785.920303869652
444761.627439537,2,2,1,44,-1,-1,0,-1,0,1,83366.435564376,19176.900536569,63773.5068445151,79797.0224646209,68966.5709777376,8327.99368383319,15495.0067582022,19678.0711265342,1365.98121708601,3992.23731093719,3268.0556234005,9184.70331775181
172574.443961173,2,1,1,40,1,0,-1,-1,-1,-1,127009.578306807,39982.7860123136,6269.78035091158,43972.7672044457,8178.427426628,48082.1099047106,12704.5946673305,2128.08980085975,18534.6330129991,15834.4493054934,1018.96607099299,17854.3611783737
129579.631923732,2,2,2,28,0,1,1,-1,0,0,12132.3083785723,24796.2873018499,11926.1876067576,20898.104913525,31104.0592285558,55719.4950172616,4123.24206937922,2793.39054545661,15363.4096399734,4232.59044573422,13020.6970846038,557.019063918101
111788.726769329,1,2,2,23,-1,0,2,0,-1,-1,107214.027798565,27441.352305351,26334.5753692973,62639.1122035037,25430.908438478,41835.7284096572,570.415637649532,4383.43113755541,3596.97864550743,64.5315878355749,12283.4078734396,20069.0600548308
242889.30572293,1,3,2,39,-1,-1,-1,-1,-1,2,105446.926363245,22174.4758882477,65512.4768005099,96306.763377592,27655.6617734888,20013.0857995678,5397.23441741545,9950.48802099753,9278.69322395368,21657.56557383,8713.76270155786,5290.68158101093
245827.165131723,1,4,1,26,-1,-1,-1,-1,-1,-1,36064.8334362829,915.501851283625,59650.8307319697,28855.1618121364,22192.5157824413,82807.8409568013,16000.7835991018,15246.0082951856,2037.69167801782,11983.2006861586,6897.55095364183,7115.80266457783
79120.45036459,1,3,1,53,0,-1,-1,0,1,0,157653.225103011,115445.024246243,43304.4642645522,48910.2501751586,16717.5284585046,40460.0432420937,2830.52566485443,26020.7218359185,10125.6723868567,9107.37979132192,14442.198160134,3646.33678524301
140287.262995072,2,2,2,41,0,0,-1,0,0,0,32385.3405675111,92986.5802961302,172435.801978746,47166.5718858762,20142.4843638805,57407.6534082298,6698.00033237528,4174.81582888347,3630.27432669765,3417.36496038008,10016.596712435,387.021120407931
77048.2470622752,2,2,1,27,1,2,2,2,0,0,52663.8981728509,61097.4932777927,28517.630631265,18911.6425213656,49301.2006122288,28962.9055304423,10072.9559272195,7603.19150192756,14224.6765526691,14196.1781709331,19958.7865634264,24936.1695266967
292658.13759207,2,1,2,38,1,0,2,-1,-1,-1,13484.4552088943,110882.008156228,21126.6632182324,6609.03519640899,43515.1962042615,75160.9207289546,17844.4939790305,15801.8996595897,2674.30042873828,8509.01391462702,18009.7547420845,11084.4844079909
152759.645709683,1,1,1,39,1,2,1,0,1,-1,40153.0401935535,22221.8842027093,33252.6487156678,85482.8096493862,92909.5048357451,76880.5326827391,3733.68595007714,1885.13404392088,369.979891207316,13097.2390250076,9738.19430213045,7772.65311823375
519551.666076414,2,2,1,38,0,-1,-1,0,0,0,49189.5699397081,42152.9527237895,26208.2690580129,17270.2303989457,67531.3899840494,62355.7331116466,15358.9773843615,33797.7712703761,19444.9564819438,10404.3567866595,14463.3746095621,21230.5855637139
328747.581615113,2,2,2,30,-1,1,-1,-1,-1,-1,21237.3458303877,42786.5850088935,39128.5891937969,6771.94263069525,75491.0349266148,28400.3156713859,3212.30805167301,13734.6215335885,22213.7703906654,4212.85579934517,818.515819817396,13090.3078680499
75311.5841129281,2,2,2,23,2,3,2,0,0,-1,63871.7314740965,65541.6385464235,15840.8542890089,14947.7315798907,39271.6647798207,17082.2303058763,15843.4465311819,6110.09392019033,43.1073256273143,8308.95538238055,4749.70272471651,11007.9309370671
402408.371807407,2,2,1,38,-1,-1,-1,-1,-1,-1,26582.5660425635,53400.027875656,24175.9496040335,30773.3746860633,11210.7256202437,12981.0308729745,13395.8236555278,19528.9947609384,529.593905891371,6659.4033488664,7161.92997051292,7928.84376235241
